layout,J_kappa
logical_aware,0.02239303
monomial,0.03030639
random_12,0.04332942
random_03,0.04487884
random_02,0.04490375
random_05,0.04640813
random_16,0.04642878
random_06,0.04646400
random_01,0.04655082
random_14,0.04797944
random_18,0.04798186
random_17,0.04804092
random_00,0.04808376
random_13,0.04834487
random_09,0.04857920
random_10,0.04960293
random_19,0.04962695
random_08,0.04965397
random_07,0.04967674
random_11,0.05125698
random_15,0.05125891
random_04,0.05442551
