index,support_indices,support_monomials
0,"[0, 3, 6, 12, 27, 30]","1, y^3, x, x^2, x^4y^3, x^5"
1,"[0, 3, 9, 15, 24, 33]","1, y^3, xy^3, x^2y^3, x^4, x^5y^3"
2,"[0, 6, 9, 12, 18, 33]","1, x, xy^3, x^2, x^3, x^5y^3"
3,"[0, 6, 21, 24, 30, 33]","1, x, x^3y^3, x^4, x^5, x^5y^3"
4,"[0, 9, 12, 15, 21, 27]","1, xy^3, x^2, x^2y^3, x^3y^3, x^4y^3"
5,"[0, 15, 18, 24, 27, 30]","1, x^2y^3, x^3, x^4, x^4y^3, x^5"
6,"[1, 4, 7, 13, 28, 31]","y, y^4, xy, x^2y, x^4y^4, x^5y"
7,"[1, 4, 10, 16, 25, 34]","y, y^4, xy^4, x^2y^4, x^4y, x^5y^4"
8,"[1, 7, 10, 13, 19, 34]","y, xy, xy^4, x^2y, x^3y, x^5y^4"
9,"[1, 7, 22, 25, 31, 34]","y, xy, x^3y^4, x^4y, x^5y, x^5y^4"
10,"[1, 10, 13, 16, 22, 28]","y, xy^4, x^2y, x^2y^4, x^3y^4, x^4y^4"
11,"[1, 16, 19, 25, 28, 31]","y, x^2y^4, x^3y, x^4y, x^4y^4, x^5y"
12,"[2, 5, 8, 14, 29, 32]","y^2, y^5, xy^2, x^2y^2, x^4y^5, x^5y^2"
13,"[2, 5, 11, 17, 26, 35]","y^2, y^5, xy^5, x^2y^5, x^4y^2, x^5y^5"
14,"[2, 8, 11, 14, 20, 35]","y^2, xy^2, xy^5, x^2y^2, x^3y^2, x^5y^5"
15,"[2, 8, 23, 26, 32, 35]","y^2, xy^2, x^3y^5, x^4y^2, x^5y^2, x^5y^5"
16,"[2, 11, 14, 17, 23, 29]","y^2, xy^5, x^2y^2, x^2y^5, x^3y^5, x^4y^5"
17,"[2, 17, 20, 26, 29, 32]","y^2, x^2y^5, x^3y^2, x^4y^2, x^4y^5, x^5y^2"
18,"[3, 6, 9, 15, 21, 30]","y^3, x, xy^3, x^2y^3, x^3y^3, x^5"
19,"[3, 6, 12, 15, 18, 24]","y^3, x, x^2, x^2y^3, x^3, x^4"
20,"[3, 9, 18, 27, 30, 33]","y^3, xy^3, x^3, x^4y^3, x^5, x^5y^3"
21,"[3, 12, 21, 24, 27, 33]","y^3, x^2, x^3y^3, x^4, x^4y^3, x^5y^3"
22,"[4, 7, 10, 16, 22, 31]","y^4, xy, xy^4, x^2y^4, x^3y^4, x^5y"
23,"[4, 7, 13, 16, 19, 25]","y^4, xy, x^2y, x^2y^4, x^3y, x^4y"
24,"[4, 10, 19, 28, 31, 34]","y^4, xy^4, x^3y, x^4y^4, x^5y, x^5y^4"
25,"[4, 13, 22, 25, 28, 34]","y^4, x^2y, x^3y^4, x^4y, x^4y^4, x^5y^4"
26,"[5, 8, 11, 17, 23, 32]","y^5, xy^2, xy^5, x^2y^5, x^3y^5, x^5y^2"
27,"[5, 8, 14, 17, 20, 26]","y^5, xy^2, x^2y^2, x^2y^5, x^3y^2, x^4y^2"
28,"[5, 11, 20, 29, 32, 35]","y^5, xy^5, x^3y^2, x^4y^5, x^5y^2, x^5y^5"
29,"[5, 14, 23, 26, 29, 35]","y^5, x^2y^2, x^3y^5, x^4y^2, x^4y^5, x^5y^5"
30,"[6, 15, 18, 21, 27, 33]","x, x^2y^3, x^3, x^3y^3, x^4y^3, x^5y^3"
31,"[7, 16, 19, 22, 28, 34]","xy, x^2y^4, x^3y, x^3y^4, x^4y^4, x^5y^4"
32,"[8, 17, 20, 23, 29, 35]","xy^2, x^2y^5, x^3y^2, x^3y^5, x^4y^5, x^5y^5"
33,"[9, 12, 18, 21, 24, 30]","xy^3, x^2, x^3, x^3y^3, x^4, x^5"
34,"[10, 13, 19, 22, 25, 31]","xy^4, x^2y, x^3y, x^3y^4, x^4y, x^5y"
35,"[11, 14, 20, 23, 26, 32]","xy^5, x^2y^2, x^3y^2, x^3y^5, x^4y^2, x^5y^2"
